ticker,fiscal_year,exploitable,raison_non_exploitable,date_annonce,date_ex,date_paiement,montant,yield_pct,source_montant,n_ex_div_doublons_ignores,prix_annonce,prix_veille_ex,prix_jour_ex,prix_paiement,variation_annonce_a_veille_ex_pct,chute_reelle_fcfa,chute_reelle_pct_du_dividende,variation_ex_a_paiement_pct,variation_totale_annonce_a_paiement_pct,volume_moyen_avant_annonce,volume_moyen_annonce_a_ex,volume_moyen_ex_a_paiement
NEIC,2022,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2023-06-19,2023-09-20,2023-09-22,,,,0,,,,,,,,,,,,
NEIC,2023,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2024-05-28,2024-06-21,2024-06-25,,,,0,,,,,,,,,,,,
NSBC,2022,True,,2023-05-19,2023-07-05,2023-07-07,455.0,7.62,DIVIDEND_HISTORY,0,5100.0,5500.0,5490.0,5480.0,7.84,10.0,2.2,-0.18,7.45,377.0,703.0,865
NSBC,2023,True,,2024-05-23,2024-07-04,2024-07-08,671.0,11.18,DIVIDEND_HISTORY,0,5800.0,6300.0,6285.0,6150.0,8.62,15.0,2.2,-2.15,6.03,665.0,1142.0,7527.0
NSBC,2024,True,,2025-05-26,2025-07-07,2025-07-09,676.0,9.53,DIVIDEND_HISTORY,0,8585.0,9850.0,9850.0,9650.0,14.74,0.0,0.0,-2.03,12.41,2344.0,2970.0,1184.0
NTLC,2021,True,,2022-05-20,2022-07-29,2022-08-02,728.0,15.81,DIVIDEND_HISTORY,0,7000.0,7585.0,6940.0,6795.0,8.36,645.0,88.6,-2.09,-2.93,597.0,2980.0,1782.0
NTLC,2022,True,,2023-05-12,2023-08-03,2023-08-08,675.0,8.19,DIVIDEND_HISTORY,0,7885.0,9190.0,8990.0,8600.0,16.55,200.0,29.6,-4.34,9.07,2064.0,1592.0,452
NTLC,2023,True,,2024-06-11,2024-08-16,2024-08-20,722.0,9.78,DIVIDEND_HISTORY,0,7495.0,7150.0,7150.0,7175.0,-4.6,0.0,0.0,0.35,-4.27,4295.0,3973.0,2603.0
NTLC,2024,True,,2025-06-12,2025-08-13,2025-08-18,370.0,4.64,DIVIDEND_HISTORY,0,11400.0,12600.0,12190.0,12200.0,10.53,410.0,110.8,0.08,7.02,1912.0,2450.0,1524.0
ONTBF,2021,True,,2022-05-12,2022-06-13,2022-06-15,288.0,7.3,DIVIDEND_HISTORY,0,1598.0,1470.0,1470.0,1460.5,-8.01,0.0,0.0,-0.65,-8.6,11110.0,12622.0,4215.0
ONTBF,2022,True,,2023-05-09,2023-06-22,2023-06-26,266.0,8.33,DIVIDEND_HISTORY,0,1599.0,1520.0,1528.5,1530.0,-4.94,-8.5,-3.2,0.1,-4.32,9749.0,11536.0,4933.0
ONTBF,2023,True,,2024-06-24,2024-07-29,2024-07-31,195.0,8.55,DIVIDEND_HISTORY,0,1943.0,2070.0,2070.0,2070.0,6.54,0.0,0.0,0.0,6.54,10416.0,10134.0,4709.0
ONTBF,2024,True,,2025-05-28,2025-07-17,2025-07-21,145.0,6.33,DIVIDEND_HISTORY,0,2490.0,2550.0,2520.0,2535.0,2.41,30.0,20.7,0.6,1.81,10934,12296.0,6041.0
ONTBF,2025,True,,2026-04-29,2026-06-12,2026-06-15,145.32,5.36,DIVIDEND,0,2700.0,2950.0,2950.0,2815.0,9.26,0.0,0.0,-4.58,4.26,2770.0,2633.0,1071
ORAC,2022,True,,2023-04-13,2023-06-13,2023-06-15,780.0,7.64,DIVIDEND_HISTORY,0,9200.0,9600.0,9210.0,9305.0,4.35,390.0,50.0,1.03,1.14,2530.0,5783.0,4462.0
ORAC,2023,True,,2024-04-16,2024-05-30,2024-06-03,660.0,6.06,DIVIDEND_HISTORY,0,10850.0,11895.0,11200.0,11485.0,9.63,695.0,105.3,2.54,5.85,1603.0,1824.0,1066.0
ORAC,2024,True,,2025-04-10,2025-06-05,2025-06-11,704.0,4.02,DIVIDEND_HISTORY,0,15200.0,15555.0,15550.0,15750.0,2.34,5.0,0.7,1.29,3.62,3981.0,1491.0,846.0
ORAC,2025,True,,2026-05-18,2026-06-05,2026-06-08,800.0,5.14,DIVIDEND,0,15150.0,16975.0,16975.0,16275.0,12.05,0.0,0.0,-4.12,7.43,639.0,2497.0,1258
ORGT,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
PALC,2021,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2022-06-21,2022-08-29,2022-08-31,,,,0,,,,,,,,,,,,
PALC,2022,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2023-06-21,2023-07-17,2023-07-19,,,,0,,,,,,,,,,,,
PALC,2023,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2024-06-13,2024-07-24,2024-07-26,,,,0,,,,,,,,,,,,
